STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CURRENCY,Currency,COUNTERPART_AREA,Counterpart area,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,FIN,Finland,2026-05,,104,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,FRA,France,2026-05,,126,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,FRA,France,2026-05,,114,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,DEU,Germany,2026-05,,126,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,DEU,Germany,2026-05,,115,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,GRC,Greece,2026-05,,155,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,GRC,Greece,2026-05,,141,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,HUF,Forint,HUN,Hungary,2026-05,,146,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,HUF,Forint,HUN,Hungary,2026-05,,151,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,ISK,Iceland krona,ISL,Iceland,2026-05,,69,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,ISK,Iceland krona,ISL,Iceland,2026-05,,71,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,IRL,Ireland,2026-05,,100,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,IRL,Ireland,2026-05,,91,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,ILS,New Israeli sheqel,ISR,Israel,2026-05,,73,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,ILS,New Israeli sheqel,ISR,Israel,2026-05,,76,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,ITA,Italy,2026-05,,142,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,ITA,Italy,2026-05,,125,,,
